,FutureID,ContractNum,Position,Value,Win
20200122,,318.71490491245555,,131914.98364109814,False
20200123,,318.71490491245555,,131914.98364109814,False
20200203,,318.71490491245555,,131914.98364109814,False
20200204,SH510300,361.32058393921557,long,136217.86014508427,True
20200205,SH510300,361.32058393921557,long,137663.14248084114,True
20200206,SH510300,361.32058393921557,long,140915.02773629408,True
20200207,SH510300,361.32058393921557,long,140553.70715235488,True
20200210,,361.32058393921557,,139796.10821798033,True
20200211,SH510300,357.4454422659817,long,140833.50425279676,True
20200212,SH510300,357.4454422659817,long,141905.84057959472,True
20200213,SH510300,357.4454422659817,long,141190.94969506277,False
20200214,SH510300,357.4454422659817,long,142263.2860218607,True
20200217,SH510300,357.4454422659817,long,145122.84955998854,True
20200218,SH510300,357.4454422659817,long,144407.95867545658,False
20200219,,357.4454422659817,,144371.85668578776,False
20200220,SH510300,355.5068294152761,long,146824.32054850901,True
20200221,,355.5068294152761,,146432.196515664,True
20200224,,355.5068294152761,,146432.196515664,True
20200225,,355.5068294152761,,146432.196515664,True
20200226,,355.5068294152761,,146432.196515664,True
20200227,,355.5068294152761,,146432.196515664,True
20200228,SH510300,365.0763032824437,long,143474.98719000036,False
20200302,,365.0763032824437,,144169.0885116161,False
20200303,SH510300,349.83751273738875,long,142383.86768411723,False
20200304,SH510300,349.83751273738875,long,143433.38022232938,True
20200305,,349.83751273738875,,145146.27214406987,True
20200306,,349.83751273738875,,145146.27214406987,True
20200309,,349.83751273738875,,145146.27214406987,True
20200310,,349.83751273738875,,145146.27214406987,True
20200311,,349.83751273738875,,145146.27214406987,True
20200312,,349.83751273738875,,145146.27214406987,True
20200313,,349.83751273738875,,145146.27214406987,True
20200316,,349.83751273738875,,145146.27214406987,True
20200317,,349.83751273738875,,145146.27214406987,True
20200318,,349.83751273738875,,145146.27214406987,True
20200319,SH510300,399.7520513647617,long,143910.73849131423,False
20200320,,399.7520513647617,,144274.4129200433,False
20200323,,399.7520513647617,,144274.4129200433,False
20200324,SH510300,401.7781429852656,long,145041.90961768088,True
20200325,,401.7781429852656,,148219.0707278726,True
20200326,SH510300,402.66854679773695,long,148182.0252215672,False
20200327,SH510300,402.66854679773695,long,148987.36231516267,False
20200330,SH510300,402.66854679773695,long,147779.35667476946,True
20200331,,402.66854679773695,,148950.11547458387,True
20200401,SH510300,406.86581216604003,long,149319.7530649367,True
20200402,SH510300,406.86581216604003,long,151354.0821257669,True
20200403,,406.86581216604003,,150909.47950952247,True
20200407,,406.86581216604003,,150909.47950952247,True
20200408,,406.86581216604003,,150909.47950952247,True
20200409,,406.86581216604003,,150909.47950952247,True
20200410,,406.86581216604003,,150909.47950952247,True
20200413,SH510300,402.3246975176804,long,150469.43687161247,False
20200414,,402.3246975176804,,151236.26774508116,False
20200415,,402.3246975176804,,151236.26774508116,False
20200416,,402.3246975176804,,151236.26774508116,False
20200417,,402.3246975176804,,151236.26774508116,False
20200420,,402.3246975176804,,151236.26774508116,False
20200421,,402.3246975176804,,151236.26774508116,False
20200422,,402.3246975176804,,151236.26774508116,False
20200423,,402.3246975176804,,151236.26774508116,False
20200424,,402.3246975176804,,151236.26774508116,False
20200427,,402.3246975176804,,151236.26774508116,False
20200428,SH510300,395.8075081886103,long,151594.27563623775,True
20200429,,395.8075081886103,,151556.3770673287,True
20200430,SH510300,392.5349674688288,long,153481.17228031208,True
20200506,,392.5349674688288,,151480.6178186072,True
20200507,SH510300,386.3335641054206,long,151056.42356521945,False
20200508,,386.3335641054206,,151791.13342075696,False
20200511,SH510300,383.21513919691023,long,151369.97998277957,False
20200512,SH510300,383.21513919691023,long,150986.76484358264,False
20200513,,383.21513919691023,,150565.8988169596,False
20200514,,383.21513919691023,,150565.8988169596,False
20200515,,383.21513919691023,,150565.8988169596,False
20200518,,383.21513919691023,,150565.8988169596,False
20200519,SH510300,381.08421962094184,long,150147.18253065107,False
20200520,SH510300,381.08421962094184,long,149766.09831103013,False
20200521,,381.08421962094184,,149728.65678645237,False
20200522,SH510300,383.8236768665586,long,146620.6445630254,False
20200525,,383.8236768665586,,146200.26168093728,False
20200526,,383.8236768665586,,146200.26168093728,False
20200527,,383.8236768665586,,146200.26168093728,False
20200528,,383.8236768665586,,146200.26168093728,False
20200529,SH510300,381.628513709529,long,147690.23480558774,True
20200601,SH510300,381.628513709529,long,151506.51994268302,True
20200602,SH510300,381.628513709529,long,151888.14845639255,True
20200603,,381.628513709529,,152613.24263244064,True
20200604,SH510300,382.393731472998,long,152192.7051262532,False
20200605,,382.393731472998,,152154.65694997166,False
20200608,,382.393731472998,,152154.65694997166,False
20200609,,382.393731472998,,152154.65694997166,False
20200610,SH510300,376.5263064183747,long,152116.6277930234,False
20200611,,376.5263064183747,,151702.16646123337,False
20200612,SH510300,382.99053130968105,long,153579.2030551821,True
20200615,,382.99053130968105,,152392.12390338775,True
20200616,SH510300,380.88508848634774,long,153115.80557151177,True
20200617,SH510300,380.88508848634774,long,153115.80557151177,False
20200618,,380.88508848634774,,152696.73675290466,False
20200619,,380.88508848634774,,152696.73675290466,False
20200622,,380.88508848634774,,152696.73675290466,False
20200623,SH510300,372.33798075579807,long,153775.5860521446,True
20200624,SH510300,372.33798075579807,long,154892.59999441198,True
20200629,,372.33798075579807,,154481.6319481528,True
20200630,,372.33798075579807,,154481.6319481528,True
20200701,SH510300,368.5990959256672,long,157391.8139602599,True
20200702,,368.5990959256672,,157352.4660067698,True
20200703,,368.5990959256672,,157352.4660067698,True
20200706,,368.5990959256672,,157352.4660067698,True
20200707,SH510300,326.37580440319334,long,154702.13128711365,False
20200708,,326.37580440319334,,154337.1615438398,False
20200709,SH510300,321.4553893689906,long,156548.77462269843,True
20200710,,321.4553893689906,,155545.5123524778,True
20200713,SH510300,325.32768973546945,long,158759.91259090908,True
20200714,,325.32768973546945,,158720.22261276134,True
20200715,,325.32768973546945,,158720.22261276134,True
20200716,,325.32768973546945,,158720.22261276134,True
20200717,,325.32768973546945,,158720.22261276134,True
20200720,,325.32768973546945,,158720.22261276134,True
20200721,,325.32768973546945,,158720.22261276134,True
20200722,SH510300,335.4768551260944,long,160693.41360539923,True
20200723,SH510300,335.4768551260944,long,160022.459895147,True
20200724,,335.4768551260944,,158640.882336524,True
20200727,,335.4768551260944,,158640.882336524,True
20200728,SH510300,343.2927100184347,long,158601.23202851685,False
20200729,,343.2927100184347,,157875.16794682783,False
20200730,SH510300,332.2857031991009,long,156506.56620677654,False
20200731,,332.2857031991009,,156467.43956522483,False
20200803,SH510300,326.57271916932,long,157408.05063961225,True
20200804,,326.57271916932,,158348.17185492092,True
20200805,SH510300,328.44106785527873,long,158637.03577409964,True
20200806,,328.44106785527873,,158597.37651515612,True
20200807,,328.44106785527873,,158597.37651515612,True
20200810,SH510300,335.00472656008003,long,160165.7597683743,True
20200811,,335.00472656008003,,160259.68671858354,True
20200812,SH510300,339.08916785318706,long,159439.72672456855,False
20200813,,339.08916785318706,,159840.572507117,False
20200814,,339.08916785318706,,159840.572507117,False
20200817,,339.08916785318706,,159840.572507117,False
20200818,,339.08916785318706,,159840.572507117,False
20200819,,339.08916785318706,,159840.572507117,False
20200820,,339.08916785318706,,159840.572507117,False
20200821,,339.08916785318706,,159840.572507117,False
