,Date,FutureID,ContractNum,Action,Price,Profit,Amount,Fee
20191203,20191203,SH510300,321.9923029922626,close_pos,3.89,-31.31375146600476,125223.69211252414,31.313751465997537
20191206,20191206,SH510300,317.74719292898635,long,3.94,,125192.39401402063,31.29809850351012
20191209,20191209,SH510300,317.74719292898635,close_pos,3.97,921.7051698887662,126114.09918390939,31.536408898201895
20191213,20191213,SH510300,321.6392309675372,long,3.92,,126082.57853927457,31.520644634816563
20191217,20191217,SH510300,321.6392309675372,close_pos,3.98,1897.8322823239432,127980.41082159852,32.003103481269946
20191224,20191224,SH510300,323.1020800900747,long,3.96,,127948.42371566959,31.98710592892894
20191225,20191225,SH510300,323.1020800900747,close_pos,3.98,614.0555032111879,128562.47921888078,32.148656968962435
20191226,20191226,SH510300,322.1311945669742,long,3.99,,128530.34663222272,32.132586658059154
20200102,20200102,SH510300,322.1311945669742,close_pos,4.12,4154.526016330274,132684.872648553,33.17951304039834
20200103,20200103,SH510300,318.8743022142373,long,4.16,,132651.7097211227,33.162927430297714
20200106,20200106,SH510300,318.8743022142373,close_pos,4.13,-989.5466783463198,131662.16304277637,32.92377170362
20200107,20200107,SH510300,318.71490491245555,long,4.13,,131629.25572884415,32.907313932228135
20200109,20200109,SH510300,318.71490491245555,close_pos,4.14,285.72791225399124,131914.98364109814,32.98699265843914
20200204,20200204,SH510300,361.32058393921557,long,3.65,,131882.0131378137,32.97050328445039
20200210,20200210,SH510300,361.32058393921557,close_pos,3.87,7914.095080166648,139796.10821798033,34.957766496119106
20200211,20200211,SH510300,357.4454422659817,long,3.91,,139761.16792599883,34.94029198150383
20200219,20200219,SH510300,357.4454422659817,close_pos,4.04,4610.688759788929,144371.85668578776,36.10198966886416
20200220,20200220,SH510300,355.5068294152761,long,4.06,,144335.77274260207,36.08394318568753
20200221,20200221,SH510300,355.5068294152761,close_pos,4.12,2096.4237730619207,146432.196515664,36.61720342977344
20200228,20200228,SH510300,365.0763032824437,long,4.01,,146395.5976162599,36.59889940408175
20200302,20200302,SH510300,365.0763032824437,close_pos,3.95,-2226.509104643803,144169.0885116161,36.05128494914131
20200303,20200303,SH510300,349.83751273738875,long,4.12,,144133.05524780418,36.03326381192892
20200305,20200305,SH510300,349.83751273738875,close_pos,4.15,1013.216896265687,145146.27214406987,36.29564194650409
20200319,20200319,SH510300,399.7520513647617,long,3.63,,145109.9946454085,36.277498661365826
20200320,20200320,SH510300,399.7520513647617,close_pos,3.61,-835.5817253651912,144274.4129200433,36.07762263566975
20200324,20200324,SH510300,401.7781429852656,long,3.59,,144238.35333171036,36.059588332951535
20200325,20200325,SH510300,401.7781429852656,close_pos,3.69,3980.7173961622466,148219.0707278726,37.06403369039075
20200326,20200326,SH510300,402.66854679773695,long,3.68,,148182.0252215672,37.04550630541053
20200331,20200331,SH510300,402.66854679773695,close_pos,3.7,768.0902530166786,148950.11547458387,37.24684057879067
20200401,20200401,SH510300,406.86581216604003,long,3.66,,148912.88725277066,37.228221813216805
20200403,20200403,SH510300,406.86581216604003,close_pos,3.71,1996.5922567518137,150909.47950952247,37.73680407840022
20200413,20200413,SH510300,402.3246975176804,long,3.75,,150871.76156913015,37.71794039232191
20200414,20200414,SH510300,402.3246975176804,close_pos,3.76,364.5061759510136,151236.26774508116,37.818521566661964
20200428,20200428,SH510300,395.8075081886103,long,3.82,,151198.46812804913,37.79961703202571
20200429,20200429,SH510300,395.8075081886103,close_pos,3.83,357.90893927955767,151556.3770673287,37.89856890905944
20200430,20200430,SH510300,392.5349674688288,long,3.86,,151518.49744296793,37.879624360764865
20200506,20200506,SH510300,392.5349674688288,close_pos,3.86,-37.87962436073576,151480.6178186072,37.879624360741985
20200507,20200507,SH510300,386.3335641054206,long,3.92,,151442.75712932486,37.860689282329986
20200508,20200508,SH510300,386.3335641054206,close_pos,3.93,348.3762914320978,151791.13342075696,37.95727267335757
20200511,20200511,SH510300,383.21513919691023,long,3.96,,151753.19512197646,37.93829878050019
20200513,20200513,SH510300,383.21513919691023,close_pos,3.93,-1187.2963050168473,150565.8988169596,37.65088742609643
20200519,20200519,SH510300,381.08421962094184,long,3.95,,150528.266750272,37.632066687598126
20200521,20200521,SH510300,381.08421962094184,close_pos,3.93,-799.6099638196465,149728.65678645237,37.441524577757534
20200522,20200522,SH510300,383.8236768665586,long,3.9,,149691.23397795786,37.42280849450617
20200525,20200525,SH510300,383.8236768665586,close_pos,3.81,-3490.9722970205767,146200.26168093728,36.55920522153971
20200529,20200529,SH510300,381.628513709529,long,3.83,,146163.7207507496,36.540930187678896
20200603,20200603,SH510300,381.628513709529,close_pos,4.0,6449.521881691035,152613.24263244064,38.1628513709529
20200604,20200604,SH510300,382.393731472998,long,3.99,,152575.0988577262,38.14377471443731
20200605,20200605,SH510300,382.393731472998,close_pos,3.98,-420.44190775454626,152154.65694997166,38.04817628156331
20200610,20200610,SH510300,376.5263064183747,long,4.04,,152116.6277930234,38.029156948265154
20200611,20200611,SH510300,376.5263064183747,close_pos,4.03,-414.4613317900221,151702.16646123337,37.93502537165125
20200612,20200612,SH510300,382.99053130968105,long,3.96,,151664.25039863368,37.9160625996883
20200615,20200615,SH510300,382.99053130968105,close_pos,3.98,727.8735047540686,152392.12390338775,38.10755786531326
20200616,20200616,SH510300,380.88508848634774,long,4.0,,152354.0353945391,38.08850884865387
20200618,20200618,SH510300,380.88508848634774,close_pos,4.01,342.7013583655644,152696.73675290466,38.18373012075636
20200623,20200623,SH510300,372.33798075579807,long,4.1,,152658.5721098772,38.16464302747045
20200629,20200629,SH510300,372.33798075579807,close_pos,4.15,1823.0598382755998,154481.6319481528,38.63006550341406
20200701,20200701,SH510300,368.5990959256672,long,4.19,,154443.0211928546,38.610755298199365
20200702,20200702,SH510300,368.5990959256672,close_pos,4.27,2909.444813915208,157352.4660067698,39.34795349006497
20200707,20200707,SH510300,326.37580440319334,long,4.82,,157313.1377223392,39.32828443060862
20200708,20200708,SH510300,326.37580440319334,close_pos,4.73,-2975.9761784994043,154337.1615438398,38.59393887067762
20200709,20200709,SH510300,321.4553893689906,long,4.8,,154298.58689711549,38.57464672430069
20200710,20200710,SH510300,321.4553893689906,close_pos,4.84,1246.9254553623032,155545.5123524778,38.89610211364787
20200713,20200713,SH510300,325.32768973546945,long,4.78,,155506.6356935544,38.8766589234001
20200714,20200714,SH510300,325.32768973546945,close_pos,4.88,3213.5869192069513,158720.22261276134,39.689978147727274
20200722,20200722,SH510300,335.4768551260944,long,4.73,,158680.55247464267,39.670138118672185
20200724,20200724,SH510300,335.4768551260944,close_pos,4.73,-39.670138118672185,158640.882336524,39.67013811866067
20200728,20200728,SH510300,343.2927100184347,long,4.62,,158601.23202851685,39.650308007141575
20200729,20200729,SH510300,343.2927100184347,close_pos,4.6,-726.0640816890227,157875.16794682783,39.47866165211999
20200730,20200730,SH510300,332.2857031991009,long,4.75,,157835.70901957294,39.45892725489102
20200731,20200731,SH510300,332.2857031991009,close_pos,4.71,-1368.2694543481048,156467.43956522483,39.126641551694135
20200803,20200803,SH510300,326.57271916932,long,4.79,,156428.33248210428,39.107083120557945
20200804,20200804,SH510300,326.57271916932,close_pos,4.85,1919.8393728166411,158348.17185492092,39.59694219928005
20200805,20200805,SH510300,328.44106785527873,long,4.82,,158308.59470624436,39.57714867655886
20200806,20200806,SH510300,328.44106785527873,close_pos,4.83,288.78180891176453,158597.37651515612,39.65925894352491
20200810,20200810,SH510300,335.00472656008003,long,4.7330000000000005,,158557.7370808859,39.639434270211495
20200811,20200811,SH510300,335.00472656008003,close_pos,4.785,1701.9496376976313,160259.68671858354,40.07494041474958
20200812,20200812,SH510300,339.08916785318706,long,4.725,,160219.63181063088,40.054907952668145
20200813,20200813,SH510300,339.08916785318706,close_pos,4.715,-379.0593035138736,159840.572507117,39.970135660694424
