	年化收益	年化波动	收益波动比	最大回撤	总费率	总交易天数	总换仓次数
创业板_maL_20_OnlyLong_Jump_longBars3	0.409694808	0.119192035	3.437266645	0.06065956	0.322270461	487	329
券商ETF_maL_20_OnlyLong_Jump_longBars3	0.376703102	0.156532754	2.4065449	0.100565737	0.315721863	487	265
新能源车ETF_maL_20_OnlyLong_Jump_longBars3	0.283267878	0.123252627	2.298270515	0.035689332	0.39557249	106	65
有色金属ETF_maL_20_OnlyLong_Jump_longBars3	0.312542955	0.087235984	3.582729759	0.046333634	0.30606545	489	283
芯片ETF_maL_20_OnlyLong_Jump_longBars3	0.96557816	0.227994347	4.235096938	0.057462032	0.227838364	123	88
证券ETF_maL_20_OnlyLong_Jump_longBars3	0.282605319	0.165304246	1.709607138	0.128349859	0.397655642	488	270
银行ETF_maL_20_OnlyLong_Jump_longBars3	0.187153875	0.085313445	2.193720742	0.035712863	0.459053805	489	262
黄金ETF_maL_20_OnlyLong_Jump_longBars3	0.051491448	0.039614439	1.299815152	0.022838499	0.786827583	491	271
300ETF_maL_20_BiDirection_Jump_longBars3	0.282454404	0.114835734	2.459638593	0.057830636	0.488650754	491	491
500ETF_maL_20_BiDirection_Jump_longBars3	0.282184826	0.125768601	2.243682637	0.103248556	0.468695168	491	490
50ETF_maL_20_BiDirection_Jump_longBars3	0.316808984	0.10210222	3.102860889	0.041642133	0.466057266	491	491
5GETF_maL_20_BiDirection_Jump_longBars3	0.414127551	0.246643028	1.679056382	0.115133076	0.44991232	200	199
H股ETF_maL_20_BiDirection_Jump_longBars3	0.235676298	0.07621351	3.092316544	0.030731441	0.515780387	491	481
TMTETF_maL_20_BiDirection_Jump_longBars3	0.53330111	0.140940108	3.783884634	0.061654738	0.288261817	490	402
XFETF_maL_20_BiDirection_Jump_longBars3	0.390690176	0.129097271	3.026324047	0.070242853	0.431786973	491	489
军工ETF_maL_20_BiDirection_Jump_longBars3	0.336960781	0.144961384	2.324486498	0.070814555	0.425358517	491	477
军工龙头ETF_maL_20_BiDirection_Jump_longBars3	0.599972577	0.184438575	3.252966876	0.048967389	0.338858788	230	229
创业50_maL_20_BiDirection_Jump_longBars3	0.40972214	0.149084793	2.748249045	0.080153008	0.381053479	491	483
创业板_maL_20_BiDirection_Jump_longBars3	0.46051215	0.141447357	3.255714068	0.052502433	0.357601644	491	492
券商ETF_maL_20_BiDirection_Jump_longBars3	0.370961826	0.162708155	2.279921537	0.112346008	0.440628338	491	485
新能源车ETF_maL_20_BiDirection_Jump_longBars3	0.924600942	0.182800029	5.057991231	0.042020949	0.261078424	107	104
有色金属ETF_maL_20_BiDirection_Jump_longBars3	0.321324404	0.10220145	3.144029795	0.060505763	0.406776835	491	484
芯片ETF_maL_20_BiDirection_Jump_longBars3	1.180543234	0.261749155	4.510208382	0.068437288	0.25736168	124	125
证券ETF_maL_20_BiDirection_Jump_longBars3	0.362462497	0.165868694	2.18523754	0.091995903	0.447143129	491	486
银行ETF_maL_20_BiDirection_Jump_longBars3	0.243664574	0.094999745	2.564897144	0.052953327	0.521726014	491	476
黄金ETF_maL_20_BiDirection_Jump_longBars3	0.111562188	0.045570555	2.448120017	0.022046079	0.730441915	491	449
300ETF_maL_30_OnlyLong_Jump_longBars3	0.219576569	0.099059966	2.216602495	0.050731678	0.458586167	487	304
500ETF_maL_30_OnlyLong_Jump_longBars3	0.285050786	0.095045633	2.999093991	0.0418943	0.383187639	489	325
50ETF_maL_30_OnlyLong_Jump_longBars3	0.206750311	0.091458281	2.260596963	0.061714869	0.472481263	487	294
5GETF_maL_30_OnlyLong_Jump_longBars3	0.281836299	0.177813634	1.585009502	0.088646053	0.452497772	198	134
H股ETF_maL_30_OnlyLong_Jump_longBars3	0.076021197	0.069503073	1.093781812	0.042327726	0.667587737	489	263
TMTETF_maL_30_OnlyLong_Jump_longBars3	0.449684666	0.102037131	4.407068893	0.056484733	0.235658863	485	235
XFETF_maL_30_OnlyLong_Jump_longBars3	0.429431261	0.101598982	4.226727981	0.033676213	0.315898736	489	312
军工ETF_maL_30_OnlyLong_Jump_longBars3	0.278483205	0.135670927	2.052637296	0.075812703	0.376164045	487	275
军工龙头ETF_maL_30_OnlyLong_Jump_longBars3	0.410005025	0.161036358	2.546040102	0.053584648	0.327259981	230	148
创业50_maL_30_OnlyLong_Jump_longBars3	0.436799452	0.122644378	3.561512219	0.05234587	0.262396099	487	268
创业板_maL_30_OnlyLong_Jump_longBars3	0.41269315	0.112447686	3.670090204	0.053929979	0.306468424	487	308
券商ETF_maL_30_OnlyLong_Jump_longBars3	0.413340995	0.151041173	2.736611384	0.080309616	0.273384677	489	242
新能源车ETF_maL_30_OnlyLong_Jump_longBars3	0.227246002	0.1262104	1.800533094	0.043369963	0.438764346	106	63
有色金属ETF_maL_30_OnlyLong_Jump_longBars3	0.339665658	0.085190823	3.987115576	0.044640055	0.268089601	489	258
芯片ETF_maL_30_OnlyLong_Jump_longBars3	0.759065534	0.233811378	3.24648672	0.082359734	0.251543877	123	82
证券ETF_maL_30_OnlyLong_Jump_longBars3	0.332066111	0.155683256	2.132959706	0.091506353	0.330645093	489	246
银行ETF_maL_30_OnlyLong_Jump_longBars3	0.199772256	0.084096704	2.375506373	0.043724821	0.432921206	489	254
黄金ETF_maL_30_OnlyLong_Jump_longBars3	0.050074888	0.037852424	1.322897793	0.02289208	0.776864208	491	250
300ETF_maL_30_BiDirection_Jump_longBars3	0.297116411	0.113588302	2.615730718	0.055890402	0.474392672	491	488
500ETF_maL_30_BiDirection_Jump_longBars3	0.327147844	0.121339195	2.69614318	0.065928823	0.429289355	491	489
50ETF_maL_30_BiDirection_Jump_longBars3	0.296153037	0.10496612	2.821415488	0.054083007	0.484278767	491	486
5GETF_maL_30_BiDirection_Jump_longBars3	0.155404486	0.277899649	0.559210803	0.200529613	0.682108415	200	199
H股ETF_maL_30_BiDirection_Jump_longBars3	0.234797505	0.076386614	3.07380433	0.033527308	0.511219349	491	471
TMTETF_maL_30_BiDirection_Jump_longBars3	0.546358172	0.132591434	4.120614394	0.069430703	0.278523437	490	393
XFETF_maL_30_BiDirection_Jump_longBars3	0.348135826	0.133344066	2.610808541	0.053536256	0.465262333	491	483
军工ETF_maL_30_BiDirection_Jump_longBars3	0.320757775	0.145202385	2.2090393	0.097568009	0.440960912	491	476
军工龙头ETF_maL_30_BiDirection_Jump_longBars3	0.574777824	0.183034647	3.140267883	0.067936593	0.347386878	230	228
创业50_maL_30_BiDirection_Jump_longBars3	0.394704237	0.153617218	2.569401028	0.086238335	0.391470154	491	478
创业板_maL_30_BiDirection_Jump_longBars3	0.551065312	0.130183737	4.232981203	0.056098903	0.31150398	491	490
券商ETF_maL_30_BiDirection_Jump_longBars3	0.3572032	0.157238057	2.271735023	0.11727201	0.451296024	491	483
新能源车ETF_maL_30_BiDirection_Jump_longBars3	0.890269499	0.19394832	4.590240834	0.041541178	0.27614954	107	104
有色金属ETF_maL_30_BiDirection_Jump_longBars3	0.323011397	0.10521897	3.069896959	0.059801992	0.403236598	491	480
芯片ETF_maL_30_BiDirection_Jump_longBars3	1.105180075	0.273876461	4.03532334	0.097979413	0.27325452	124	125
证券ETF_maL_30_BiDirection_Jump_longBars3	0.37113158	0.163904223	2.264319812	0.114283705	0.438972913	491	480
银行ETF_maL_30_BiDirection_Jump_longBars3	0.23110948	0.096140848	2.403863547	0.041406318	0.537856903	491	475
黄金ETF_maL_30_BiDirection_Jump_longBars3	0.144395283	0.04367943	3.305795933	0.019295302	0.666522863	491	436
300ETF_maL_10_OnlyLong_Jump_longBars4	0.197204737	0.101196867	1.94872374	0.068808824	0.490145726	487	307
500ETF_maL_10_OnlyLong_Jump_longBars4	0.267935353	0.09497281	2.82117959	0.060924446	0.398283937	490	324
50ETF_maL_10_OnlyLong_Jump_longBars4	0.193357434	0.090843807	2.128460268	0.051007015	0.512754261	490	321
5GETF_maL_10_OnlyLong_Jump_longBars4	0.614176258	0.157504629	3.899417187	0.039904728	0.2684203	198	126
H股ETF_maL_10_OnlyLong_Jump_longBars4	0.057158527	0.064676168	0.883764895	0.047406082	0.706794546	489	235
TMTETF_maL_10_OnlyLong_Jump_longBars4	0.446328953	0.111825683	3.991291986	0.066131458	0.248509552	485	251
XFETF_maL_10_OnlyLong_Jump_longBars4	0.342516431	0.10046085	3.409451853	0.041018008	0.378778953	489	316
军工ETF_maL_10_OnlyLong_Jump_longBars4	0.285793375	0.129430425	2.208084962	0.079884814	0.339448511	490	247
军工龙头ETF_maL_10_OnlyLong_Jump_longBars4	0.441409102	0.150424026	2.934432168	0.034109762	0.304726103	230	144
创业50_maL_10_OnlyLong_Jump_longBars4	0.373545147	0.121819343	3.066386165	0.069808208	0.285628312	490	252
创业板_maL_10_OnlyLong_Jump_longBars4	0.407678063	0.111249572	3.664536006	0.050382036	0.308385778	487	306
券商ETF_maL_10_OnlyLong_Jump_longBars4	0.380520787	0.155098997	2.453405858	0.10602514	0.25674458	490	203
