StockID,Date,Time,open,close,high,low,vol,OI,SettleDate
IH1907,20190530,0:00:00,2710,2702.4,2710.6,2676.2,1158,2162,20190719
IH1909,20190530,0:00:00,2714,2706.2,2718,2681,3849,10382,20190920
IH1912,20190530,0:00:00,2717.8,2709.8,2718,2679.8,398,1688,20191220
IH1906,20190531,0:00:00,2717.2,2707,2747.4,2707,39786,41302,20190621
IH1907,20190531,0:00:00,2697.6,2684,2723,2684,1374,2551,20190719
IH1909,20190531,0:00:00,2704,2690,2729.4,2690,3449,10433,20190920
IH1912,20190531,0:00:00,2706,2690.2,2730.8,2690.2,350,1657,20191220
IH1906,20190603,0:00:00,2723.6,2726.8,2751,2706.8,45761,43401,20190621
IH1907,20190603,0:00:00,2699.8,2703.8,2727.8,2684.2,1247,2661,20190719
IH1909,20190603,0:00:00,2705,2709,2731.6,2689.6,4249,10526,20190920
IH1912,20190603,0:00:00,2710,2711,2730.6,2690.4,466,1782,20191220
IH1906,20190604,0:00:00,2728.8,2709.4,2733.2,2698.8,37849,41000,20190621
IH1907,20190604,0:00:00,2704.2,2687.6,2708,2676.8,1484,3084,20190719
IH1909,20190604,0:00:00,2709.2,2691,2715.2,2682.4,3253,10588,20190920
IH1912,20190604,0:00:00,2712,2693.2,2713.6,2684.2,300,1765,20191220
IH1906,20190605,0:00:00,2732.2,2703.4,2737.6,2698.2,38593,40994,20190621
IH1907,20190605,0:00:00,2704.2,2680.2,2713.6,2677,1917,3700,20190719
IH1909,20190605,0:00:00,2717,2685.8,2718,2682.2,4104,11192,20190920
IH1912,20190605,0:00:00,2713.2,2687.2,2723.2,2685,535,1949,20191220
IH1906,20190606,0:00:00,2709,2689.8,2713,2687.6,37966,41987,20190621
IH1907,20190606,0:00:00,2687.6,2667.4,2689.2,2665.2,1600,3934,20190719
IH1909,20190606,0:00:00,2688,2669,2696,2669,3918,11002,20190920
IH1912,20190606,0:00:00,2692,2671.2,2696.8,2669.6,441,1960,20191220
IH1906,20190610,0:00:00,2709.8,2724,2733.4,2698.4,40550,40988,20190621
IH1907,20190610,0:00:00,2688.2,2701.8,2709.8,2677.6,2079,4226,20190719
IH1909,20190610,0:00:00,2690,2701.8,2711.8,2680.4,4639,11250,20190920
IH1912,20190610,0:00:00,2692.2,2699.2,2711.8,2682,487,2085,20191220
IH1906,20190611,0:00:00,2734.8,2795.8,2801.8,2731,45276,41296,20190621
IH1907,20190611,0:00:00,2710.4,2774.2,2779.6,2708.6,3507,5206,20190719
IH1909,20190611,0:00:00,2715,2780.6,2783.8,2709.8,6017,12143,20190920
IH1912,20190611,0:00:00,2711,2777,2779.6,2711,625,2088,20191220
IH1906,20190612,0:00:00,2786.2,2787.6,2794.4,2781.2,31280,35237,20190621
IH1907,20190612,0:00:00,2759,2765,2772.2,2759,2716,5584,20190719
IH1909,20190612,0:00:00,2771.6,2768.4,2776.4,2760.2,3976,12499,20190920
