,FutureID,ContractNum,Position,Value,Win
20111219,IF1201,1,short,1508917.0285714276,False
20111220,IF1201,1,long,1489068.8285714274,False
20111221,IF1201,1,short,1479355.0285714276,True
20111222,,1,,1484115.4285714275,
20111223,IF1201,1,long,1484105.8285714274,True
20111226,,1,,1477515.4285714275,
20111227,,1,,1477515.4285714275,
20111228,,1,,1477515.4285714275,
20111229,IF1201,1,short,1477506.4285714275,False
20111230,,1,,1465506.857142856,
20120104,IF1201,1,short,1465553.257142856,True
20120105,IF1201,1,short,1465567.857142856,True
20120106,IF1201,1,short,1465561.257142856,False
20120109,IF1201,1,long,1470278.6571428562,True
20120110,IF1201,1,long,1470364.4571428562,True
20120111,IF1201,1,long,1470347.4571428562,False
20120112,IF1201,1,long,1470347.4571428562,True
20120113,IF1201,1,long,1470312.057142856,False
20120116,,1,,1478046.857142856,
20120117,IF1201,1,long,1478091.6571428562,True
20120118,,1,,1481130.857142856,
20120119,IF1201,1,long,1481118.057142856,True
20120120,,1,,1481118.057142856,True
20120130,,1,,1485690.857142856,
20120131,,1,,1485690.857142856,
20120201,,1,,1485690.857142856,
20120202,IF1202,1,long,1485693.057142856,True
20120203,IF1202,1,long,1485714.857142856,True
20120206,IF1202,1,short,1491149.6571428562,True
20120207,IF1202,1,short,1491189.857142856,True
20120208,IF1202,1,long,1494807.257142856,True
20120209,,1,,1497066.857142856,
20120210,IF1202,1,long,1497047.257142856,True
20120213,IF1202,1,long,1497046.057142856,True
20120214,IF1202,1,short,1488430.257142856,True
20120215,IF1202,1,long,1481828.4571428562,True
20120216,IF1202,1,long,1481815.4571428562,False
20120217,,1,,1481815.4571428562,False
20120220,IF1203,1,short,1473311.6571428562,True
20120221,IF1203,1,long,1475205.6571428562,True
20120222,IF1203,1,long,1475232.6571428562,True
20120223,IF1203,1,long,1475242.857142856,True
20120224,IF1203,1,long,1475295.257142856,True
20120227,IF1203,1,long,1475305.857142856,True
20120228,IF1203,1,long,1475304.857142856,False
20120229,IF1203,1,long,1475287.6571428562,False
20120301,IF1203,1,short,1497464.057142856,False
20120302,IF1203,1,long,1487634.4571428562,True
20120305,IF1203,1,short,1489192.257142856,True
20120306,IF1203,1,short,1489228.057142856,True
20120307,IF1203,1,short,1489248.057142856,True
20120308,IF1203,1,long,1501001.857142856,True
20120309,IF1203,1,long,1501029.057142856,True
20120312,IF1203,1,short,1504786.6571428562,True
20120313,IF1203,1,long,1496500.6571428562,True
20120314,IF1203,1,short,1493558.057142856,True
20120315,IF1203,1,short,1493585.057142856,True
20120316,,1,,1493585.057142856,True
20120319,IF1204,1,long,1514744.6571428562,True
20120320,IF1204,1,short,1511282.6571428562,True
20120321,IF1204,1,short,1511277.257142856,True
20120322,,1,,1513410.857142856,
20120323,,1,,1513410.857142856,
20120326,,1,,1513410.857142856,
20120327,IF1204,1,short,1513410.857142856,True
20120328,IF1204,1,short,1513482.6571428562,True
20120329,IF1204,1,short,1513511.6571428562,True
20120330,IF1204,1,short,1513522.057142856,True
20120405,IF1204,1,short,1513464.257142856,False
20120406,IF1204,1,long,1527152.4571428562,True
20120409,IF1204,1,long,1527132.857142856,False
20120410,,1,,1514820.857142856,
20120411,IF1204,1,long,1514819.057142856,True
20120412,IF1204,1,long,1514869.857142856,True
20120413,IF1204,1,long,1514883.857142856,True
20120416,IF1204,1,long,1514871.857142856,True
20120417,IF1204,1,long,1514847.257142856,False
20120418,IF1204,1,long,1514891.057142856,True
20120419,IF1204,1,long,1514893.6571428562,True
20120420,,1,,1514893.6571428562,True
20120423,IF1205,1,short,1544169.6571428562,True
20120424,,1,,1547556.857142856,
20120425,IF1205,1,long,1547554.6571428562,True
20120426,IF1205,1,long,1547564.6571428562,True
20120427,IF1205,1,long,1547564.4571428562,False
20120502,IF1205,1,long,1547612.6571428562,True
20120503,IF1205,1,long,1547620.6571428562,True
20120504,IF1205,1,long,1547643.057142856,True
20120507,IF1205,1,long,1547640.057142856,True
20120508,IF1205,1,short,1567050.6571428562,True
20120509,IF1205,1,short,1567089.257142856,True
20120510,IF1205,1,short,1567089.4571428562,True
20120511,IF1205,1,short,1567121.6571428562,True
20120514,IF1205,1,long,1582496.257142856,False
20120515,IF1205,1,short,1569322.6571428562,False
20120516,IF1205,1,short,1569363.6571428562,True
20120517,,1,,1571256.857142856,
20120518,,1,,1571256.857142856,
20120521,IF1206,1,long,1572440.857142856,True
20120522,IF1206,1,long,1572465.4571428562,True
20120523,IF1206,1,short,1567591.857142856,True
20120524,IF1206,1,short,1567597.4571428562,True
20120525,IF1206,1,short,1567614.257142856,True
20120528,IF1206,1,long,1569698.4571428562,True
20120529,IF1206,1,long,1569744.6571428562,True
20120530,IF1206,1,short,1584386.6571428562,True
20120531,IF1206,1,short,1584383.4571428562,False
20120601,IF1206,1,long,1577757.857142856,False
20120604,,1,,1556784.857142856,
20120605,,1,,1556784.857142856,
20120606,IF1206,1,short,1556784.6571428562,True
20120607,IF1206,1,short,1556799.857142856,True
20120608,,1,,1559052.857142856,
20120611,IF1206,1,long,1559049.057142856,True
20120612,IF1206,1,short,1552446.057142856,False
20120613,IF1206,1,long,1544660.857142856,True
20120614,IF1206,1,long,1544651.6571428562,False
20120615,,1,,1544651.6571428562,False
20120618,,1,,1543452.857142856,
20120619,,1,,1543452.857142856,
