,curr_con,curr_con_trend,curr_con_trand2,next_con,next_con_trend,next_con_trend2,curr_con_trend2
20130725,IF1308,,,IF1309,,,
20130726,IF1308,,,IF1309,,,
20130729,IF1308,,,IF1309,,,
20130730,IF1308,,,IF1309,,,
20130731,IF1308,,,IF1309,,,
20130801,IF1308,1,,IF1309,1,,
20130802,IF1308,,,IF1309,,,
20130805,IF1308,,,IF1309,,,
20130806,IF1308,,,IF1309,,,
20130807,IF1308,,,IF1309,,,
20130808,IF1308,,,IF1309,,,
20130809,IF1308,,,IF1309,,,
20130812,IF1308,,,IF1309,,1,1.0
20130813,IF1308,,,IF1309,,1,1.0
20130814,IF1308,,,IF1309,,1,1.0
20130815,IF1308,,,IF1309,,,
20130816,IF1308,,,IF1309,,,
20130819,IF1309,,,IF1310,,,
20130820,IF1309,,,IF1310,,,
20130821,IF1309,,,IF1310,,,
20130822,IF1309,,,IF1310,,,
20130823,IF1309,,,IF1310,-1,,
20130826,IF1309,,,IF1310,,,
20130827,IF1309,,,IF1310,,,
20130828,IF1309,,,IF1310,,,
20130829,IF1309,,,IF1310,,,
20130830,IF1309,,,IF1310,,,
20130902,IF1309,,,IF1310,,,
20130903,IF1309,,,IF1310,,,
20130904,IF1309,,,IF1310,,,
20130905,IF1309,,,IF1310,,,
20130906,IF1309,,,IF1310,,,
20130909,IF1309,1,,IF1310,1,1,1.0
20130910,IF1309,,,IF1310,,1,1.0
20130911,IF1309,,,IF1310,,1,1.0
20130912,IF1309,,,IF1310,,1,1.0
20130913,IF1309,,,IF1310,,,
20130916,IF1309,,,IF1310,,,
20130917,IF1309,,,IF1310,,,
20130918,IF1309,,,IF1310,,,
20130923,IF1309,,,IF1310,,,
20130924,IF1310,,,IF1311,,,
20130925,IF1310,,,IF1311,,,
20130926,IF1310,,,IF1311,,,
20130927,IF1310,,,IF1311,,,
20130930,IF1310,,,IF1311,,,
20131008,IF1310,,,IF1311,,,
20131009,IF1310,,,IF1311,,,
20131010,IF1310,,,IF1311,,,
20131011,IF1310,,,IF1311,,,
20131014,IF1310,,,IF1311,,,
20131015,IF1310,,,IF1311,,,
20131016,IF1310,,,IF1311,,,
20131017,IF1310,,,IF1311,,,
20131018,IF1310,,,IF1311,,,
20131021,IF1311,,,IF1312,,,
20131022,IF1311,,,IF1312,,,
20131023,IF1311,,,IF1312,,,
20131024,IF1311,,,IF1312,,,
20131025,IF1311,,,IF1312,,,
20131028,IF1311,,,IF1312,,,
20131029,IF1311,,,IF1312,,,
20131030,IF1311,,,IF1312,,,
20131031,IF1311,,,IF1312,,,
20131101,IF1311,,,IF1312,,,
20131104,IF1311,,,IF1312,,,
20131105,IF1311,,,IF1312,,,
20131106,IF1311,,,IF1312,,,
20131107,IF1311,,,IF1312,,,
20131108,IF1311,,,IF1312,,,
20131111,IF1311,,,IF1312,,,
20131112,IF1311,,,IF1312,,,-1.0
20131113,IF1311,,,IF1312,,,-1.0
20131114,IF1311,,,IF1312,,,-1.0
20131115,IF1311,1,,IF1312,,,
20131118,IF1312,,,IF1401,,,
20131119,IF1312,,,IF1401,,,
20131120,IF1312,,,IF1401,,,
20131121,IF1312,,,IF1401,,,
20131122,IF1312,,,IF1401,,,
20131125,IF1312,,,IF1401,,,
20131126,IF1312,,,IF1401,,,
20131127,IF1312,,,IF1401,,,
20131128,IF1312,,,IF1401,,,
20131129,IF1312,,,IF1401,,,
20131202,IF1312,,,IF1401,,,
20131203,IF1312,,,IF1401,,,
20131204,IF1312,,,IF1401,,1,1.0
20131205,IF1312,,,IF1401,,,
20131206,IF1312,,,IF1401,,,
20131209,IF1312,,,IF1401,,,
20131210,IF1312,,,IF1401,,,
20131211,IF1312,,,IF1401,,,
20131212,IF1312,,,IF1401,,,
20131213,IF1312,,,IF1401,,,
20131216,IF1312,,,IF1401,,,-1.0
20131217,IF1312,,,IF1401,,,-1.0
20131218,IF1312,,,IF1401,,,-1.0
20131219,IF1312,,,IF1401,,,-1.0
20131220,IF1312,,,IF1401,,,-1.0
20131223,IF1401,,,IF1402,,,-1.0
20131224,IF1401,,,IF1402,,,-1.0
20131225,IF1401,,,IF1402,,,
20131226,IF1401,,,IF1402,,,
20131227,IF1401,,,IF1402,,,
20131230,IF1401,,,IF1402,,,
20131231,IF1401,,,IF1402,,,
20140102,IF1401,,,IF1402,,,
20140103,IF1401,,,IF1402,,,
20140106,IF1401,,,IF1402,,,
20140107,IF1401,,,IF1402,,,
20140108,IF1401,,,IF1402,,,
20140109,IF1401,,,IF1402,,,
20140110,IF1401,,,IF1402,,,-1.0
20140113,IF1401,,,IF1402,,,-1.0
20140114,IF1401,,,IF1402,,,-1.0
20140115,IF1401,,,IF1402,,,-1.0
20140116,IF1401,,,IF1402,,,-1.0
20140117,IF1401,,,IF1402,,,-1.0
20140120,IF1402,,,IF1403,,,
20140121,IF1402,,,IF1403,,,
20140122,IF1402,,,IF1403,,,
20140123,IF1402,,,IF1403,,,
20140124,IF1402,,,IF1403,,,
20140127,IF1402,,,IF1403,,,
20140128,IF1402,,,IF1403,,,
20140129,IF1402,,,IF1403,,,
20140130,IF1402,,,IF1403,,,
20140207,IF1402,,,IF1403,,,
20140210,IF1402,,,IF1403,,,
20140211,IF1402,,,IF1403,,,
20140212,IF1402,,,IF1403,,,
20140213,IF1402,,,IF1403,,,
20140214,IF1402,,,IF1403,,,
20140217,IF1402,,,IF1403,,1,
20140218,IF1402,,,IF1403,,,
20140219,IF1402,,,IF1403,,,
20140220,IF1402,,,IF1403,,,
20140221,IF1402,,,IF1403,,,
20140224,IF1403,,,IF1404,,,
