,FutureID,ContractNum,Position,Value,Win
20190402,IF1904,1,long,1139940.8658200018,False
20190403,IF1904,1,short,1210051.3420200017,False
20190404,IF1904,1,short,1209996.5420200017,False
20190408,,1,,1209996.5420200017,False
20190409,IF1904,1,short,1157852.0724200017,False
20190410,IF1904,1,long,1155140.1340200019,True
20190411,IF1904,1,short,1161739.092020002,True
20190412,IF1904,1,short,1161755.292020002,True
20190415,IF1905,1,short,1171015.1329200019,True
20190416,,1,,1171015.1329200019,True
20190417,,1,,1171015.1329200019,True
20190418,,1,,1171015.1329200019,True
20190419,,1,,1171015.1329200019,True
20190422,,1,,1171015.1329200019,True
20190423,IF1905,1,short,1204565.8612600018,False
20190424,,1,,1204565.8612600018,False
20190425,IF1905,1,short,1197622.099700002,True
20190426,IF1905,1,long,1220072.327700002,False
20190429,,1,,1220072.327700002,False
20190430,IF1905,1,long,1209578.859400002,True
20190506,,1,,1209578.859400002,True
20190507,IF1905,1,short,1171949.014280002,False
20190508,IF1905,1,short,1171999.214280002,False
20190509,IF1905,1,long,1191660.754680002,False
20190510,IF1905,1,short,1194415.1653600018,False
20190513,,1,,1194415.1653600018,False
20190514,IF1906,1,short,1188182.490580002,False
20190515,,1,,1188182.490580002,False
20190516,IF1906,1,long,1176685.0169800022,True
20190517,,1,,1176685.0169800022,True
20190520,,1,,1176685.0169800022,True
20190521,IF1906,1,short,1182955.9724600024,False
20190522,IF1906,1,long,1173506.0895000026,False
20190523,IF1906,1,short,1165829.5598200026,True
20190524,IF1906,1,short,1165817.7598200026,True
20190527,,1,,1165817.7598200026,True
20190528,IF1906,1,long,1174574.6205800027,True
20190529,IF1906,1,long,1174576.0205800026,True
20190530,IF1906,1,long,1174568.0205800026,False
20190531,IF1906,1,short,1176862.5584200025,True
20190603,IF1906,1,long,1174687.7996600028,False
20190604,,1,,1174687.7996600028,False
20190605,IF1906,1,short,1172527.7057600026,True
20190606,IF1906,1,long,1184401.5293600028,False
20190610,,1,,1184401.5293600028,False
20190611,IF1906,1,long,1181070.4715400026,True
20190612,IF1906,1,long,1181040.2715400027,False
20190613,IF1906,1,short,1204265.1013400024,True
20190614,IF1906,1,short,1204288.7013400025,True
20190617,IF1907,1,long,1213801.1231600025,False
20190618,IF1907,1,long,1213812.7231600024,True
20190619,IF1907,1,short,1246134.2077600025,True
20190620,IF1907,1,short,1246020.4077600024,False
20190621,,1,,1246020.4077600024,False
20190624,,1,,1246020.4077600024,False
20190625,IF1907,1,short,1218177.3193600024,True
20190626,IF1907,1,short,1218181.3193600024,False
20190627,IF1907,1,long,1226519.9277600024,True
20190628,IF1907,1,long,1226523.7277600025,True
20190701,IF1907,1,short,1259716.4043600024,False
20190702,IF1907,1,short,1259714.4043600024,False
20190703,IF1907,1,long,1257559.7843600025,False
20190704,IF1907,1,short,1252875.5796400025,True
20190705,IF1907,1,short,1252856.7796400024,False
20190708,IF1907,1,short,1252951.3796400023,True
20190709,IF1907,1,short,1252959.9796400024,True
20190710,IF1907,1,short,1252958.7796400024,True
20190711,IF1907,1,short,1252962.1796400023,True
20190712,IF1907,1,long,1287144.7536400023,True
20190715,IF1908,1,long,1289483.5951600024,True
20190716,IF1908,1,short,1295900.1165200025,True
20190717,,1,,1295900.1165200025,True
20190718,IF1908,1,long,1302601.7994400025,False
20190719,,1,,1302601.7994400025,False
20190722,,1,,1302601.7994400025,False
20190723,IF1908,1,short,1304666.2340600025,True
20190724,IF1908,1,short,1304636.2340600025,False
20190725,IF1908,1,long,1294207.1870600027,True
20190726,IF1908,1,short,1299561.8889000027,False
20190729,IF1908,1,long,1295082.9865000027,False
20190730,IF1908,1,short,1296465.6178600027,False
20190731,IF1908,1,long,1297851.1154600026,False
20190801,IF1908,1,short,1288707.6325800023,True
20190802,IF1908,1,short,1288766.0325800024,False
20190805,IF1908,1,short,1288839.0325800024,True
20190806,IF1908,1,short,1288880.2325800024,False
20190807,IF1908,1,short,1288907.8325800023,True
20190808,IF1908,1,long,1343903.691660002,True
20190809,IF1908,1,long,1343886.4916600022,False
20190812,IF1909,1,short,1345794.6114600021,False
20190813,IF1909,1,long,1340977.6622600025,False
20190814,IF1909,1,short,1355355.6506600021,True
20190815,,1,,1355355.6506600021,True
20190816,,1,,1355355.6506600021,True
20190819,,1,,1355355.6506600021,True
20190820,IF1909,1,short,1377776.7328000022,True
20190821,IF1909,1,long,1378268.6985200024,True
20190822,IF1909,1,long,1378270.8985200026,False
20190823,IF1909,1,short,1381006.9345200027,False
20190826,IF1909,1,long,1388367.110000003,True
20190827,IF1909,1,short,1395664.746000003,False
20190828,IF1909,1,long,1385777.7293600028,False
20190829,IF1909,1,short,1381439.3114400029,True
20190830,IF1909,1,short,1381429.711440003,True
20190902,IF1909,1,long,1382849.759760003,True
20190903,IF1909,1,long,1382852.159760003,False
20190904,IF1909,1,long,1382905.159760003,True
20190905,IF1909,1,long,1382940.759760003,True
20190906,IF1909,1,long,1382975.159760003,True
20190909,IF1909,1,short,1438687.635760003,True
20190910,IF1909,1,short,1438695.2357600029,True
20190911,IF1909,1,short,1438722.035760003,True
