,curr_mon_con,next_mon_con,curr_mon_PV,next_mon_PV,curr_signal,next_signal,SettleWeekFlag
20190510,IF1905,IF1906,0.0022792052763706263,0.04850221670175395,,1.0,
20190513,IF1905,IF1906,-0.022865028848083488,-0.06867921738701296,-1.0,-1.0,1
20190514,IF1905,IF1906,0.0011234152296316722,-0.026744841464230163,,-1.0,1
20190515,IF1905,IF1906,0.017590395539572548,0.047034033937123784,1.0,1.0,1
20190516,IF1905,IF1906,-0.04754819810422483,-0.003499184356062017,-1.0,,1
20190517,IF1905,IF1906,0.2019203137571994,-0.1542647342039632,1.0,-1.0,1
20190520,IF1906,IF1907,-0.10039803704308285,-0.0030492904379562833,-1.0,,
20190521,IF1906,IF1907,0.19182567596558944,0.23047880813508498,1.0,1.0,
20190522,IF1906,IF1907,-0.024773478689920504,0.1364606209241638,-1.0,1.0,
20190523,IF1906,IF1907,-0.1346718436040431,0.007897995999076134,-1.0,,
20190524,IF1906,IF1907,-0.00659234234027126,-0.013403851025417112,,-1.0,
20190527,IF1906,IF1907,0.0996719527360691,0.02406516022794254,1.0,1.0,
20190528,IF1906,IF1907,0.1228509024151676,0.05605113436819438,1.0,1.0,
20190529,IF1906,IF1907,0.09822239220254697,0.1664399932177996,1.0,1.0,
20190530,IF1906,IF1907,-0.23391756186743348,-0.07068611601158908,-1.0,-1.0,
20190531,IF1906,IF1907,0.14008427104014864,0.18098194310143859,1.0,1.0,
20190603,IF1906,IF1907,-0.0009375839576136739,-0.016330040755169688,,-1.0,
20190604,IF1906,IF1907,-0.18443112326086902,0.048578326185798985,-1.0,1.0,
20190605,IF1906,IF1907,0.04304509116695003,-0.019751754349013752,1.0,-1.0,
20190606,IF1906,IF1907,-0.00833029343645872,0.025596747214060765,,1.0,
20190610,IF1906,IF1907,0.0750062539546639,0.042471200306561756,1.0,1.0,
20190611,IF1906,IF1907,0.12552531828349223,0.17711004400690933,1.0,1.0,
20190612,IF1906,IF1907,-0.053405183251347785,0.12321359071338008,-1.0,1.0,
20190613,IF1906,IF1907,-0.18565394774606203,-0.20676865687159793,-1.0,-1.0,
20190614,IF1906,IF1907,0.014662642979844437,0.04569972780697555,1.0,1.0,
20190617,IF1906,IF1907,0.0833894114891745,0.09123537521445403,1.0,1.0,1
20190618,IF1906,IF1907,-0.09250274297928417,-0.07857909532755167,-1.0,-1.0,1
20190619,IF1906,IF1907,-0.11970341872645414,-0.20073575157664933,-1.0,-1.0,1
20190620,IF1906,IF1907,-0.04939212758344121,0.15595438945773987,-1.0,1.0,1
20190621,IF1906,IF1907,-0.07307406656384469,0.05890921419950159,-1.0,1.0,1
20190624,IF1907,IF1908,-0.031374531795507456,0.003239186425665279,-1.0,,
20190625,IF1907,IF1908,-0.17249090271825449,-0.046090125538353656,-1.0,-1.0,
20190626,IF1907,IF1908,0.157730775241521,0.10192334322050746,1.0,1.0,
20190627,IF1907,IF1908,0.17518593214135106,0.0763154756048268,1.0,1.0,
20190628,IF1907,IF1908,-0.20283172855338158,0.08407451355498537,-1.0,1.0,
20190701,IF1907,IF1908,-0.21625058950391465,-0.025882744884629796,-1.0,-1.0,
20190702,IF1907,IF1908,0.028079742504076303,-0.07326517027401343,1.0,-1.0,
20190703,IF1907,IF1908,-0.1430829818553886,0.0003830206705625826,-1.0,,
20190704,IF1907,IF1908,-0.027196588497509132,0.03515989806585597,-1.0,1.0,
20190705,IF1907,IF1908,-0.030202770371524315,0.11390458910926152,-1.0,1.0,
20190708,IF1907,IF1908,-0.2764887809845864,-0.2626952929119893,-1.0,-1.0,
20190709,IF1907,IF1908,-0.022995747928978804,0.1415595548853252,-1.0,1.0,
20190710,IF1907,IF1908,-0.1657906005258396,-0.02835372688432461,-1.0,-1.0,
20190711,IF1907,IF1908,0.19015065330708858,0.2075805601827135,1.0,1.0,
20190712,IF1907,IF1908,0.010759336736266212,0.2868247222601467,1.0,1.0,
20190715,IF1907,IF1908,-0.19778222847439636,-0.14348304998347247,-1.0,-1.0,1
20190716,IF1907,IF1908,-0.047177870409153534,0.04614518742106001,-1.0,1.0,1
20190717,IF1907,IF1908,0.24257315610638483,0.15406820639843527,1.0,1.0,1
20190718,IF1907,IF1908,-0.0639272176693931,0.0525318827315939,-1.0,1.0,1
20190719,IF1907,IF1908,-0.06714576429838738,0.20932578695937318,-1.0,1.0,1
20190722,IF1908,IF1909,-0.04424972752694535,-0.04076944382823182,-1.0,-1.0,
20190723,IF1908,IF1909,-0.0381071210782132,0.0522910892174672,-1.0,1.0,
20190724,IF1908,IF1909,0.23556625131428918,0.2368413481783789,1.0,1.0,
20190725,IF1908,IF1909,-0.043842536632950645,-0.0547476814122188,-1.0,-1.0,
20190726,IF1908,IF1909,0.016658846679029057,0.03341479544031964,1.0,1.0,
20190729,IF1908,IF1909,-0.07486574621901937,-0.06287788840853342,-1.0,-1.0,
20190730,IF1908,IF1909,0.15230371507923468,0.21872254145054576,1.0,1.0,
20190731,IF1908,IF1909,-0.12991431098379375,0.021282479240754236,-1.0,1.0,
20190801,IF1908,IF1909,-0.09315481250024125,0.013470056656076083,-1.0,1.0,
20190802,IF1908,IF1909,-0.020230027718956847,0.009685705758595502,-1.0,,
20190805,IF1908,IF1909,-0.057752421778118165,-0.02235081277395098,-1.0,-1.0,
20190806,IF1908,IF1909,-0.0815321014739401,-0.045681789266257246,-1.0,-1.0,
20190807,IF1908,IF1909,0.03755906470074257,0.04642053413639847,1.0,1.0,
20190808,IF1908,IF1909,0.010838478211439014,0.08139133094976969,1.0,1.0,
20190809,IF1908,IF1909,-0.052350682136874466,-0.007148447541548776,-1.0,,
20190812,IF1908,IF1909,0.02487195511212047,0.05086894722271795,1.0,1.0,1
20190813,IF1908,IF1909,-0.022904479242162268,-0.06297964609810144,-1.0,-1.0,1
20190814,IF1908,IF1909,0.008760334319428109,0.05144979516218592,,1.0,1
